survey,year,regulatory_area_name,species_code,haul_count,catch_count,mean_wgt_cpue,var_wgt_cpue,mean_num_cpue,var_num_cpue,area_biomass,biomass_var,min_biomass,max_biomass,area_pop,pop_var,min_pop,max_pop,akfin_load_date
GOA,2011,CENTRAL GOA,30060,383,172,3302.4408910995858,478178.1372832375,4990.073085547715,1060104.2833874999,538237.8,12701924410.251184,310465,766010,813290798,28159724221343132,474149630,1152431966,2022-09-21T09:31:57Z
GOA,1990,CENTRAL GOA,30060,371,142,195.0756051015352,2054.2057331068477,377.378091513028,5535.158980313788,31074.4,52118094.93428917,16484,45665,60111103,140434785359141.11,36161205,84061001,2022-09-21T09:31:57Z
GOA,1996,EASTERN GOA,30060,214,107,2662.4009171161883,728787.6158305776,4766.751651071693,2542926.5603021337,212035.5,4622441417.002935,70619,353452,379626591,16128881442834494,115467562,643785620,2022-09-21T09:31:57Z
GOA,2015,CENTRAL GOA,30060,434,202,4501.511842347565,786190.0867181884,6350.700814162262,1493125.2761177614,763193.4,22598502540.606823,465544,1060843,1076707029,42918876637891944,666512973,1486901085,2022-09-21T09:31:57Z
GOA,1990,EASTERN GOA,30060,202,129,1391.0539674187362,371157.2626261042,2425.8326016621627,540523.6810437118,101678.2,1983015906.4249823,3665,199691,177314825,2887905384701686.5,59034769,295594881,2022-09-21T09:31:57Z
GOA,2013,EASTERN GOA,30060,99,64,3098.8226537935598,2156805.3595598657,5891.854023840953,4946235.811288751,254548,14553141711.39491,0,523326,483977293,33374949844501052,76948158,891006428,2022-09-21T09:31:57Z
GOA,1987,EASTERN GOA,30060,160,76,1224.0005317880332,126982.95727181231,2235.323656907101,223825.8986480039,100542.7,856823247.3633164,36760,164325,183617817,1510275374301480.8,98936949,268298685,2022-09-21T09:31:57Z
GOA,2013,CENTRAL GOA,30060,313,147,5438.865244623983,966160.7661734874,7846.656790334114,1982799.0477770355,886437.8,25664287141.62839,562672,1210204,1278864761,52669416817490304,815048930,1742680592,2022-09-21T09:31:57Z
GOA,2013,WESTERN GOA,30060,136,30,2487.839906634676,1341009.2680130375,4634.590487235838,3705839.133784932,157457.4,5371667479.760976,7356,307559,293325085,14844442939364212,43801326,542848844,2022-09-21T09:31:57Z
GOA,1990,WESTERN GOA,30060,135,38,400.4499890772474,49534.29844242963,1300.5273658683855,725901.3713751066,24542.6,186042957.62849328,0,52586,79703473,2726370259067306,0,187056805,2022-09-21T09:31:57Z
GOA,1987,WESTERN GOA,30060,177,72,987.3561540326838,130183.68199356181,2458.952437210726,642198.4843991451,64402.6,553887069.5745591,16839,111966,160392983,2732335045083891.5,54751792,266034174,2022-09-21T09:31:57Z
GOA,1993,WESTERN GOA,30060,170,46,1232.8748180833006,409326.9830075375,2356.2311796631598,1270402.856032762,75556,1537367136.518085,0,156680,144400544,4771431354593889,1483235,287317853,2022-09-21T09:31:57Z
GOA,2003,EASTERN GOA,30060,159,93,1235.62256610062,78399.87037385383,2769.9025472793974,285233.7705345907,101498.1,529006671.2086251,55498,147498,227529509,1924627767204960.5,139788350,315270668,2022-09-21T09:31:57Z
GOA,1993,EASTERN GOA,30060,192,99,2073.752819135178,938375.6618643306,3216.694784242164,1368515.0059241212,151580.7,5013545607.360463,0,303460,235121935,7311690483240312,51706367,418537503,2022-09-21T09:31:57Z
GOA,1987,CENTRAL GOA,30060,446,153,449.8065963644738,55563.07167960777,807.2682981567859,167478.17641194482,76260.5,1597122932.135906,0,160585,136865127,4814046957702466,0,283263961,2022-09-21T09:31:57Z
GOA,2009,EASTERN GOA,30060,157,110,1879.6481072166625,418351.0490244,4258.036695585222,1912374.434208667,160216.4,3039479383.6204925,40085,280348,362942738,13894127145360954,106096704,619788772,2022-09-21T09:31:57Z
GOA,2009,CENTRAL GOA,30060,470,209,2698.4215966112274,370440.0716217352,4304.281011145996,814700.982844324,457493.3,10648049423.557665,251115,663872,729752830,23418028975022936,423693823,1035811837,2022-09-21T09:31:57Z
GOA,2005,CENTRAL GOA,30060,470,189,2215.4294192010593,172330.05582833308,3195.167848878025,299758.24718399206,375607.5,4953510951.423963,231889,519326,541713511,8616348164389256,352166318,731260704,2022-09-21T09:31:57Z
GOA,2005,EASTERN GOA,30060,187,124,1623.4437985192358,107980.23159202079,4083.1550945708573,480063.58058017975,138377.8,784517425.0856752,81771,194984,348036943,3487844381897051,228680776,467393110,2022-09-21T09:31:57Z
GOA,2003,WESTERN GOA,30060,230,61,1151.036271061823,306823.89677697164,2110.5936376254513,852084.402536573,72850.6,1229041429.9466076,1052,144649,133579749,3413186011681442,13930513,253228985,2022-09-21T09:31:57Z
GOA,2009,WESTERN GOA,30060,196,69,486.58449469681926,42315.230212783375,1263.5310280621247,288852.8538811822,31739.1,180036841.0388834,4340,59138,82416969,1228970162192898,10831247,154002691,2022-09-21T09:31:57Z
GOA,1993,CENTRAL GOA,30060,412,158,1610.2389605844598,207023.26235592767,2852.636931495584,651961.3149085746,256485.8,5252471973.561218,111538,401434,454379672,16541177524851990,197154654,711604690,2022-09-21T09:31:57Z
GOA,1999,CENTRAL GOA,30060,414,141,3609.5348570333317,5237015.401843152,5565.151222105128,12355245.3604485,611967.5,150534467253.04727,0,1450021,943522323,355143175149192100,0,2230750352,2022-09-21T09:31:57Z
GOA,2003,CENTRAL GOA,30060,420,161,1736.8305475353495,129053.8228427101,2576.488928095035,286914.7080958827,283072.8,3428077895.646432,165973,400172,419924950,7621362522194382,245324119,594525781,2022-09-21T09:31:57Z
GOA,2011,WESTERN GOA,30060,163,52,1570.632455433571,1156211.016254558,2558.8340906737044,3023613.4709225963,99405.8,4631422961.72081,0,246404,161949342,12111658390838364,0,399663779,2022-09-21T09:31:57Z
GOA,2007,CENTRAL GOA,30060,470,170,2233.7542928616463,224326.81963306625,3381.570185919247,474553.38975416013,378713.7,6448122774.691322,218113,539314,573316859,13640716367690706,339729904,806903814,2022-09-21T09:31:57Z
GOA,1999,EASTERN GOA,30060,203,106,904.722181358869,29003.701005033075,2255.2686757937695,252022.37862856913,77115.8,210722911.91589516,48083,106148,192233028,1831038372770654.3,106651760,277814296,2022-09-21T09:31:57Z
GOA,1999,WESTERN GOA,30060,147,52,582.2716238340985,56021.42451401468,1169.4438469546262,191674.0349452152,37980.2,238352012.9580796,4633,71328,76279565,815507503732973.75,14596246,137962884,2022-09-21T09:31:57Z
GOA,2005,WESTERN GOA,30060,180,59,3846.760574890981,3704593.2643575333,6956.9508139826585,9969406.559862502,250915.5,15761778094.908403,0,508034,453785806,42416417328807096,31995160,875576452,2022-09-21T09:31:57Z
GOA,1996,WESTERN GOA,30060,200,75,1511.268069558321,399528.65616771684,2710.126206906241,1080728.2836091416,92617.9,1500566177.1341639,14330,170906,166091071,4059043785773819.5,37331897,294850245,2022-09-21T09:31:57Z
GOA,2001,WESTERN GOA,30060,139,37,4490.6713136745975,7100678.75694128,10307.458446280372,35840565.56973644,275210.7,26669021640.56112,0,617011,631692044,134611471875822450,0,1399601941,2022-09-21T09:31:57Z
GOA,2001,CENTRAL GOA,30060,350,143,2498.328943972188,891409.7279039831,3501.150781148192,1415986.010813807,397944.3,22616321274.687134,84237,711652,557678067,35925560983419204,162296805,953059329,2022-09-21T09:31:57Z
GOA,2021,WESTERN GOA,30060,114,35,2149.772267281541,1706372.8894860714,3531.7066866490163,4749385.339801988,136060.3,6835200902.361687,0,316210,223522498,19024565591905984,0,524071026,2022-09-21T09:31:57Z
GOA,2021,CENTRAL GOA,30060,292,158,7265.230224910346,3209677.902650517,10263.55671753164,7367201.219533519,1184103.2,85259201377.0212,593988,1774219,1672773037,195696176193426880,778731939,2566814135,2022-09-21T09:31:57Z
GOA,2021,EASTERN GOA,30060,123,87,1932.927367371246,105823.5368079973,4367.764198153954,497517.6562021109,158776,714049100.7876936,104210,213342,358782345,3357022886899685,240469230,477095460,2022-09-21T09:31:57Z
GOA,2017,EASTERN GOA,30060,115,74,4191.896564888326,1256557.9332755827,6136.029539655405,2061598.0329602512,344337.4,8478681486.246318,150878,537797,504034090,13910725969137114,256234291,751833889,2022-09-21T09:31:57Z
GOA,2017,WESTERN GOA,30060,125,45,3075.1373433724775,2468627.028387176,5284.743498744465,6236089.580869906,194627.3,9888554720.948765,0,405443,334474773,24979841975342300,0,669541038,2022-09-21T09:31:57Z
GOA,2017,CENTRAL GOA,30060,296,162,6328.261913070968,3925720.0983124687,8427.379842911336,5847548.268378122,1031394.1,104279547843.55386,367464,1695325,1373512590,155329385220803200,563204972,2183820208,2022-09-21T09:31:57Z
GOA,1996,CENTRAL GOA,30060,393,141,2930.3528515757944,1391769.2054196273,4408.372300876849,2809160.9154745038,466759.2,35311146496.01041,83042,850477,702182710,71272372050565010,157032298,1247333122,2022-09-21T09:31:57Z
GOA,2019,EASTERN GOA,30060,121,93,2859.378762597034,174540.35013513736,7606.292395687627,2410744.9002209785,234878.7,1177718906.6293373,164802,304956,624806125,16266610247156462,364368175,885244075,2022-09-21T09:31:57Z
GOA,2015,EASTERN GOA,30060,148,84,2896.0255216539904,400623.8043363006,5573.1021108823625,1525065.2741292657,246848.9,2910684212.9533534,134631,359066,475036629,11080178883741920,256090777,693982481,2022-09-21T09:31:57Z
GOA,2015,WESTERN GOA,30060,189,61,1998.60446436126,1352237.424794153,3333.7178802497547,3430442.4434194798,130364.3,5753308042.288454,0,283658,217450936,14595360057674308,0,461610488,2022-09-21T09:31:57Z
GOA,2011,EASTERN GOA,30060,124,79,1716.8320659678218,152428.92714233426,4911.990403120794,2252858.592396485,141026.1,1028521079.9322976,72684,209368,403487356,15201265244245458,140749097,666225615,2022-09-21T09:31:57Z
GOA,2007,WESTERN GOA,30060,205,61,2423.8189376112227,1140463.5898903622,4382.076098660231,3522571.8397268197,158100.1,4852282759.924508,12793,303407,285833186,14987339148762462,30459249,541207123,2022-09-21T09:31:57Z
GOA,2007,EASTERN GOA,30060,141,85,1775.8213127029198,238786.92196777466,3056.8541913853833,439725.049938163,151366,1734877749.420715,58566,244166,260557611,3194769624374924.5,134625942,386489280,2022-09-21T09:31:57Z
GOA,2019,WESTERN GOA,30060,123,49,680.3122003798958,52763.06104811841,1393.7353511104768,284340.47059690725,43056.5,211352468.5662838,12730,73383,88209539,1138979793442031,17809595,158609483,2022-09-21T09:31:57Z
GOA,1984,CENTRAL GOA,30060,485,128,291.0711465589097,3883.953730048265,529.9204229877366,14574.598830467829,49349.9,111641624.23171963,27774,70926,89843034,418936990255785,48047479,131638589,2022-09-21T09:31:57Z
GOA,2019,CENTRAL GOA,30060,297,163,5731.975586590498,961056.4639193494,8316.909834953774,2107303.9361220575,934209.4,25528700722.37574,591488,1276931,1355507024,55976660618828080,848013167,1863000881,2022-09-21T09:31:57Z
GOA,1984,WESTERN GOA,30060,242,67,930.0646267820313,350061.37308962306,1601.9570865730273,964555.6546655037,60666,1489391490.1058547,0,139472,104493034,4103854621585120,0,235306280,2022-09-21T09:31:57Z
GOA,1984,EASTERN GOA,30060,202,152,1428.1250735198369,257385.12952215053,3561.635002841212,1753291.7444132292,110656.4,1545302324.8572328,27318,193994,275971807,10526504828871974,58462443,493481171,2022-09-21T09:31:57Z
